Gene names	Protein IDs	Mock - 4 hr Rep 1	4 hr Rep 1	12 hr Rep 1	24 hr Rep 1	48 hr Rep 1	72 hr Rep 1	96 hr Rep 1	Mock - 96 hr Rep 1	Mock - 4 hr Rep 2	4 hr Rep 2	12 hr Rep 2	24 hr Rep 2	48 hr Rep 2	72 hr Rep 2	96 hr Rep 2	Mock - 96 hr Rep 2	Mock - 4 hr Rep 3	4 hr Rep 3	12 hr Rep 3	24 hr Rep 3	48 hr Rep 3	72 hr Rep 3	96 hr Rep 3	Mock - 96 hr Rep 3
DDX60	Q8IY21	0.119745623	0.171408904	0.070668786	-0.04428867	0.138408037	0.118516887	0.079627101	0.281351354	0.028168564	0.14009606	-0.104078046	-0.233951282	-0.021480555	0.029671025	0.090215942	0.152501082	0.01383616	0.035745091	-0.100020104	-0.221837929	-0.216607515	-0.080503431	-0.07508303	0.14144241
PARP9	Q8IXQ6-2;Q8IXQ6;Q8IXQ6-3	-0.094183862	-0.060044121	-0.181027029	-0.33079785	-0.47148448	-0.198035804	-0.170081173	-0.024649278	0.069588188	-0.042015822	0.043981725	0.194839764	-0.10966808	0.086031653	0.149594471	0.15731932	0.075552757	0.016418695	0.173440078	-0.111669579	-0.362785763	0.065057917	-0.1255878	0.021220005
Orf7a	SARS_CoV_2_Orf7a	0.1505527	0.134117417	0.419317023	0.271398911	-0.168120769	0.204724288	-0.190988305	0.225512659	0.152784821	-0.061030214	0.172833928	-0.101223489	0.301869949	0.238336414	0.239604346	-0.009906403	-0.133904739	-0.077113	-0.65590183	-0.288090056	-0.36776816	0.114104737	-0.243187518	0.036743027
PLSCR1	O15162;O15162-2	-0.573605575	-0.829959374	-0.166905472	-0.132851048	-0.166997876	0.218471149	0.37021654	-0.133253969	-0.191590759	-0.399793698	0.056290413	0.177844817	0.154518074	0.33236344	0.354868227	0.105706388	-0.584407099	-0.37404348	0.049533256	0.142824148	0.112298926	0.207748303	0.379706724	0.069573954
HELZ2	Q9BYK8;Q9BYK8-2;Q9BYK8-4	-0.098280768	-0.092527752	-0.141495881	-0.249784037	-0.300454996	-0.048105278	0.099579288	0.143598756	-0.024262553	0.044091358	-0.010089655	0.160721247	-0.05202787	0.087215181	-0.035559131	0.309240435	-0.080688134	-0.096422691	-0.0255604	-0.051966812	0.014293376	0.115731329	0.155452654	0.181627516
OAS3	Q9Y6K5	-0.162203557	0.002616945	0.066162622	0.011307952	0.19279508	0.110721611	-0.086160448	0.006276894	-0.087499423	-0.018225245	-0.058895003	-0.122763647	0.091190752	0.022768213	-0.002577893	-0.068207971	-0.092744974	-0.088137322	-0.043314376	-0.030892768	-0.007876428	-0.080871767	-0.144328224	-0.074180317
DDX58	O95786;O95786-2	0.1482174	0.246445987	0.308380001	0.255715058	0.196491781	0.078700449	-0.176753369	-0.143339973	0.087617546	0.189430648	0.139719794	0.171443625	0.111574421	0.042530733	-0.059767622	-0.278499258	0.057459481	0.144828166	0.021500485	0.082218722	0.184251788	0.136606661	-0.34229976	-0.343677781
STAT1	P42224;Q14765	0.026739774	-0.012469616	0.068509627	0.032342757	-0.062541097	0.057790647	-0.011934624	0.035584681	0.008818617	-0.205382455	0.045678773	0.120972406	-0.01472838	0.032093639	0.037167712	0.07345349	0.023021157	0.055440217	0.070574727	0.148324257	0.05233413	0.128753485	0.03677347	0.022940217
OASL	Q15646;Q15646-3;Q15646-2	-0.06716143	-0.113316364	-0.291153909	-0.283751303	-0.30148184	-0.072782572	0.106199832	0.092771701	-0.007467928	-0.053088174	-0.149983129	-0.107370676	-0.125309327	-0.007917835	0.020275081	0.236807131	-0.002688387	-0.036423125	-0.107776418	-0.117947629	-0.10832471	0.043385455	0.145515533	0.171905152
OAS1	P00973;P00973-2;P00973-4;P00973-3	-0.062615167	-0.018338112	-0.136887992	0.184242384	0.497582384	0.037193921	0.217329274	-0.133071454	-0.054892329	-0.019190344	-0.073082692	-0.087454424	0.187854082	0.1517397	0.289340985	-0.09036571	0.092827367	0.050073395	-0.101882936	0.020795657	0.007032692	0.152680601	0.109097258	0.044103307
NMI	Q13287	-0.127099664	-0.18883133	0.079296677	0.006397106	0.051935761	0.220471417	0.024008205	0.051198502	-0.029493667	-0.229442066	0.061688484	0.035208008	0.051171482	-0.003633449	-0.056347285	-0.092442998	0.053744511	0.010087827	-0.013951426	0.174121987	0.044985218	0.27356833	0.024866572	0.025865124
ISG15	P05161	-0.016179511	-0.110382126	0.047098831	-0.054125864	-0.01586971	0.160841274	-0.003197454	0.110790284	-0.101783711	-0.168807453	-0.117205454	-0.093891251	-0.042473882	-0.024165489	-0.033360096	-0.027186371	0.008137577	-0.020027103	-0.012990526	-0.025826296	0.114690716	0.126496805	-0.006074064	0.039718425
EIF2AK2	P19525;P19525-2	-0.104051611	0.011757619	-0.043833734	-0.002124427	0.184534983	0.093864578	0.103937572	-0.066535903	-0.093621123	0.064665279	-0.081919986	-0.139888579	0.146068019	0.108308605	0.086433171	-0.023648125	-0.119273374	-0.057924731	-0.113839421	-0.146837316	-0.079447196	-0.013941974	0.022701081	-0.004660002
HERC5	Q9UII4	0.092770606	-0.209462543	0.079569213	0.140084964	0.219883624	-0.387010165	-0.669970919	-1.339084236	-0.17359076	-0.041711541	-0.249349429	-0.395047091	-0.370248101	-0.339239432	-0.293566801	0.07879581	0.225466643	0.151421668	0.119658301	0.3308003	0.369217534	0.506848229	0.141101205	0.169683554
PARP14	Q460N5;Q460N5-4;Q460N5-1;Q460N5-3;Q460N5-5	-0.228028178	-0.252606374	-0.35750758	-0.294027625	-0.105434074	0.174574717	0.28365927	0.057928566	-0.163814259	-0.191295712	-0.287837501	-0.216598638	0.051777642	0.163948312	0.238651307	0.13563239	-0.146867779	-0.109258086	-0.182197937	-0.148580462	0.031581219	0.266594042	0.286309167	0.077961154
DTX3L	Q8TDB6;Q8TDB6-2	-0.412451403	-0.304088061	0.427076615	0.332689878	-0.420425701	0.238597466	0.153576034	-0.137448948	-0.108613397	-0.376181095	0.335004372	0.375290602	0.045508033	0.085792593	0.370876833	-0.32769175	0.821710496	0.62165757	0.79018096	1.099052045	0.724951582	0.280394859	0.947466887	-0.332221621
DHFR	P00374;P00374-2;Q86XF0	-0.121247815	-0.166283311	0.021298506	-0.108913776	0.088577359	0.263186182	0.182294163	0.106310201	6.67E-04	-0.133819149	-0.130011599	-0.333401627	-0.003156429	0.193180356	0.294230443	-0.040424374	0.009891391	-0.04764285	-0.165250918	-0.30821836	-0.232908646	0.130244344	0.053847577	0.031202228
PLIN2	Q99541	-0.084727026	0.054611054	0.061497948	0.077680398	0.171517045	0.12146969	-0.029096933	0.140718	-0.066683168	0.014889914	-0.030893082	-0.125498554	0.039385391	0.031202692	0.065327909	0.046419558	-0.090677796	-0.004219027	-0.043368108	-0.071105746	-0.096165994	-0.047201248	-0.076945737	0.052322742
